-1.000000,-0.000017,-0.016639,-0.000147,-0.000955
-1.000000,-0.000017,-0.016639,-0.000147,-0.000955
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
0,-0.597986,-1.578112,-1.476684,-0.466290, 
0,-0.600244,-1.580226,-1.478081,-0.467470, 
0,-0.608701,-1.590075,-1.484420,-0.476515, 
0,-0.598664,-1.578111,-1.477440,-0.465290, 
0,-0.600267,-1.579636,-1.479270,-0.467328, 
0,-0.600013,-1.578948,-1.479088,-0.466936, 
0,-0.600670,-1.579709,-1.479635,-0.467506, 
0,-0.597246,-1.575372,-1.477996,-0.464050, 
0,-0.605045,-1.584858,-1.484696,-0.473525, 
0,-0.602584,-1.581957,-1.482603,-0.469681, 
1,-0.599086,-1.580166,-1.476678,-0.468387,"Baseline"
0,-0.600244,-1.581488,-1.476697,-0.469437, 
0,-0.597603,-1.579094,-1.474395,-0.467555, 
0,-0.597004,-1.579260,-1.473751,-0.467984, 
0,-0.600086,-1.586218,-1.475828,-0.475037, 
0,-0.592243,-1.571579,-1.467474,-0.460730, 
0,-0.598472,-1.582652,-1.472468,-0.471292, 
0,-0.589175,-1.565125,-1.461834,-0.452528, 
0,-0.595841,-1.575264,-1.465422,-0.460742, 
0,-0.599961,-1.579167,-1.467784,-0.465170, 
0,-0.601994,-1.579776,-1.470229,-0.466458, 
0,-0.602705,-1.580228,-1.469253,-0.464975, 
0,-0.603479,-1.579346,-1.469294,-0.466356, 
0,-0.603689,-1.579556,-1.468344,-0.465447, 
0,-0.604410,-1.580224,-1.470655,-0.466572, 
0,-0.608056,-1.581616,-1.471937,-0.467104, 
0,-0.609113,-1.581685,-1.472123,-0.466745, 
0,-0.610963,-1.582020,-1.472263,-0.466420, 
0,-0.612293,-1.582356,-1.472518,-0.465760, 
0,-0.613795,-1.583151,-1.472843,-0.465818, 
0,-0.614577,-1.583073,-1.472771,-0.465495, 
0,-0.615664,-1.583855,-1.473492,-0.465808, 
0,-0.616682,-1.583948,-1.473296,-0.465267, 
0,-0.617570,-1.584745,-1.473922,-0.465702, 
0,-0.617672,-1.584735,-1.473770,-0.465403, 
0,-0.618212,-1.585116,-1.474321,-0.465573, 
0,-0.618308,-1.585344,-1.474784,-0.465640, 
0,-0.618141,-1.585060,-1.474643,-0.465190, 
0,-0.617800,-1.585060,-1.474047,-0.464330, 
0,-0.618181,-1.585404,-1.473503,-0.463411, 
0,-0.617444,-1.585181,-1.474153,-0.463372, 
0,-0.617752,-1.585316,-1.474132,-0.463224, 
0,-0.617858,-1.585561,-1.474263,-0.462890, 
0,-0.617107,-1.585279,-1.473923,-0.462708, 
0,-0.617267,-1.585544,-1.474439,-0.463031, 
0,-0.617398,-1.585642,-1.474103,-0.462877, 
0,-0.617522,-1.585543,-1.473803,-0.463011, 
0,-0.617228,-1.585147,-1.473608,-0.463164, 
0,-0.617942,-1.585502,-1.474332,-0.463805, 
0,-0.618182,-1.585410,-1.474060,-0.463829, 
0,-0.618072,-1.585176,-1.474214,-0.464349, 
0,-0.618463,-1.584967,-1.474112,-0.464076, 
0,-0.619134,-1.585716,-1.475241,-0.464218, 
0,-0.620317,-1.586232,-1.475894,-0.463779, 
0,-0.620241,-1.585812,-1.476439,-0.462975, 
0,-0.620536,-1.586152,-1.477590,-0.462989, 
0,-0.620784,-1.586284,-1.478197,-0.462323, 
0,-0.621003,-1.586889,-1.479242,-0.462660, 
0,-0.620748,-1.586529,-1.479439,-0.461643, 
0,-0.621159,-1.587256,-1.480547,-0.462064, 
0,-0.621131,-1.587098,-1.480396,-0.461143, 
0,-0.621709,-1.587849,-1.481466,-0.461536, 
0,-0.620425,-1.586155,-1.480879,-0.459176, 
0,-0.620329,-1.585846,-1.481449,-0.459195, 
0,-0.620188,-1.585871,-1.481720,-0.459200, 
0,-0.620102,-1.585551,-1.481989,-0.459256, 
0,-0.619503,-1.585076,-1.481932,-0.458667, 
0,-0.619220,-1.585144,-1.482339,-0.458499, 
0,-0.619203,-1.585645,-1.482970,-0.458992, 
0,-0.619002,-1.586123,-1.483119,-0.459227, 
0,-0.618433,-1.585805,-1.483256,-0.458962, 
0,-0.618187,-1.586020,-1.483242,-0.458636, 
0,-0.617645,-1.585852,-1.482428,-0.457476, 
0,-0.617194,-1.585444,-1.482454,-0.456920, 
0,-0.616691,-1.584708,-1.481826,-0.455488, 
0,-0.616212,-1.584843,-1.482029,-0.455601, 
0,-0.616004,-1.584717,-1.482352,-0.455913, 
0,-0.615603,-1.584477,-1.481693,-0.455375, 
0,-0.615191,-1.584113,-1.480891,-0.454718, 
0,-0.615200,-1.583918,-1.481087,-0.454910, 
0,-0.616044,-1.584486,-1.481467,-0.455566, 
0,-0.614984,-1.583885,-1.480433,-0.454873, 
0,-0.616960,-1.586265,-1.481821,-0.457529, 
0,-0.613214,-1.581054,-1.477883,-0.452638, 
0,-0.614998,-1.583406,-1.479003,-0.455351, 
0,-0.615978,-1.584754,-1.479726,-0.457046, 
0,-0.614935,-1.583071,-1.478066,-0.455977, 
0,-0.613487,-1.582040,-1.476211,-0.454696, 
0,-0.614084,-1.582309,-1.476087,-0.455192, 
0,-0.612041,-1.580747,-1.473549,-0.453142, 
0,-0.611698,-1.580551,-1.472810,-0.452799, 
0,-0.612803,-1.582211,-1.473208,-0.454524, 
0,-0.611650,-1.580878,-1.471053,-0.452723, 
0,-0.611592,-1.581328,-1.469981,-0.452477, 
0,-0.611394,-1.581259,-1.468367,-0.451427, 
0,-0.609950,-1.580518,-1.467274,-0.450356, 
0,-0.609541,-1.580360,-1.466404,-0.450099, 
0,-0.609787,-1.580726,-1.466092,-0.450338, 
0,-0.610018,-1.581045,-1.465273,-0.450848, 
0,-0.609284,-1.580216,-1.463236,-0.449008, 
0,-0.608204,-1.579630,-1.462960,-0.449581, 
0,-0.608893,-1.579955,-1.462097,-0.449750, 
