-1.000000,-0.003289,-0.038386,-0.001810,-0.038357
-1.000000,-0.003289,-0.038386,-0.001810,-0.038357
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
0,-0.416884,-1.251555,-1.284948,-0.184117, 
0,-0.417774,-1.251969,-1.284736,-0.183721, 
0,-0.417195,-1.252135,-1.284578,-0.183909, 
0,-0.416310,-1.251311,-1.284375,-0.183984, 
0,-0.417248,-1.252008,-1.284375,-0.183920, 
0,-0.418090,-1.253058,-1.284347,-0.183839, 
0,-0.415832,-1.251316,-1.284239,-0.183798, 
0,-0.417876,-1.253208,-1.284267,-0.183722, 
0,-0.418534,-1.252565,-1.284310,-0.184259, 
0,-0.417592,-1.252447,-1.284229,-0.184016, 
1,-0.419273,-1.255849,-1.287483,-0.187621,"Baseline"
0,-0.417588,-1.252820,-1.286218,-0.185465, 
0,-0.416568,-1.252543,-1.285931,-0.184632, 
0,-0.412442,-1.243460,-1.281698,-0.176535, 
0,-0.414725,-1.253909,-1.286313,-0.187150, 
0,-0.413245,-1.248208,-1.283969,-0.182409, 
0,-0.478945,-1.252209,-1.282970,-0.180436, 
0,-0.633249,-1.359485,-1.295351,-0.188297, 
0,-1.217792,-1.737322,-1.338027,-0.205201, 
0,-1.546904,-1.840692,-1.455161,-0.799957, 
0,-1.735142,-1.955374,-1.726152,-1.346820, 
0,-1.838171,-2.281246,-1.810591,-1.150425, 
0,-1.962376,-2.174193,-1.826233,-1.444143, 
0,-2.028009,-2.135594,-1.941897,-1.957755, 
0,-1.982061,-2.190728,-2.099381,-2.208201, 
0,-1.960824,-2.203446,-2.169451,-2.133335, 
0,-1.959682,-2.128350,-2.135042,-2.040059, 
0,-1.915610,-2.142164,-2.116061,-2.073266, 
0,-1.868495,-2.131787,-2.118897,-2.067419, 
0,-1.799579,-2.085608,-2.119176,-2.052992, 
0,-1.828996,-2.112025,-2.123794,-2.069703, 
