"","name","AA","choline1","choline2","choline3","H2O2","slope_pA_uM","selectivity"
"1","2N_4_5_E_May29_2017_first.csv _1",-0.0424420765513922,0.180083604900711,0.262776646501289,0.184901211238753,-8.88178419700125e-16,0.0107303051721177,-31.6027926883025
"2","2N_4_5_E_May29_2017_first.csv _2",-0.673258489946042,0.130216293305962,0.216417800729698,0.0782290758616337,0,0.0107303051721177,-1.99223354260592
"3","2N_4_5_E_May29_2017_second.csv _1",1.46797379763742,0.0172826561817416,-0.324255606212802,-0.246310423068834,0,-0.00992052862756243,-0.844746738968424
"4","2N_4_5_E_May29_2017_second.csv _2",0.430521660534723,-0.172985528939712,0.0260048684732936,-0.619996095726229,0,-0.00992052862756243,-2.88038022733885
"5","2N_4_5_E_May29_2017_third.csv _1",0.0623936590445862,0.350020183650225,0.4455388646677,0.267685704313706,0,0.018176365612813,36.4146891910608
"6","2N_4_5_E_May29_2017_third.csv _2",-0.279051366043127,0.352716498417315,0.0491072231564047,0.193813786427988,0,0.018176365612813,-8.14203396965447
"7","2N_4E_5E_May11_2017_blue_red.csv _1",0.302113726689776,0.601277979291672,0.544283392950931,0.542843435580899,8.88178419700125e-16,0.0280474890821072,11.6046899744594
"8","2N_4E_5E_May11_2017_blue_red.csv _2",0.00344727572145853,-0.00664160303152428,0.000753675478586846,0.00144679157387806,0,0.0280474890821072,1017.01645546938
"9","2N5E_May24_2017_AB.csv _1",-0.208559936333397,0.406312688292857,0.546509301677207,0.244168044304901,0,0.0206873970225105,-12.3989519429083
"10","2N5E_May24_2017_AB.csv _2",0.468749931153093,0.0995204256345619,0.151594149833813,0.0322614959130003,-2.22044604925031e-16,0.0206873970225105,5.51664001625048
"11","2N5E_May24_2017_CD.csv _1",-0.0201187900110644,0.130499674850906,0.172110378019971,0.0625016616938179,0,0.00633722760857028,-39.373811776734
"12","2N5E_May24_2017_CD.csv _2",-0.0301262746261351,0.188062880029493,0.212213515242286,0.160524169252722,-1.11022302462516e-16,0.00633722760857028,-26.2944376927401
"13","2N5E_May24_2017_EF.csv _1",0.0403293786399229,0.165967600565975,0.156644926177818,0.1490639561776,-2.22044604925031e-16,0.00785837187470999,24.3568464842737
"14","2N5E_May24_2017_EF.csv _2",-0.0305223084140619,0.0273551955263033,0.0344077772107113,0.0477082756124557,0,0.00785837187470999,-32.1829027809114
"15","June_7_2N4E_first.csv _1",0.00764140272388752,0.122572087118584,0.145610735325117,0.127785836874375,2.22044604925031e-16,0.00666758356639671,109.070019722187
"16","June_7_2N4E_first.csv _2",1.41283751413852,0.402875750133115,0.492152425771908,0.34797748549453,0,0.00666758356639671,0.589910685028621
"17","June_7_2N4E_second.csv _1",0.000278957237665967,0.0807918537447018,0.087644968860661,0.0893528618403646,0,0.00430507011098921,1929.09052432628
"18","June_7_2N4E_second.csv _2",-0.320937900656807,1.19274986349992,-0.358636917533896,0.0564614997186492,0,0.00430507011098921,-1.67675354880912
"19","May26_2N5E._ab.csv _1",-0.0135945174513806,0.326633113476247,0.16916598718155,0.172343378050499,2.22044604925031e-16,0.0108679671165322,-99.9296881573801
"20","May26_2N5E._ab.csv _2",0.469878232414704,0.394264916547275,0.277822425965679,0.288321424001829,4.44089209850063e-16,0.0108679671165322,2.8911658294644
"21","May26_2N5E_CD.csv _1",-0.0449432751107757,0.23836308319319,0.210577800721644,0.205353942136657,0,0.0108673113943806,-30.2250764090817
"22","May26_2N5E_CD.csv _2",0.0702827402988525,-0.851341866853194,0.181399761949186,0.202199328706201,-2.22044604925031e-16,0.0108673113943806,19.3278451938755
"23","May26_2N5E_EF.csv _1",0.608387884533658,0.0542330983069871,0.156593235658869,0.152747832854958,2.22044604925031e-16,0.00623657868060655,1.28137386508506
"24","May26_2N5E_EF.csv _2",0.89578055112411,0.0972062770439226,-0.00867306374319088,0.0983536248781529,-2.22044604925031e-16,0.00623657868060655,0.870271557132534
"25","May26_2N5E_EF_EDITED.csv _1",0.608387884533658,0.0542330983069871,0.156593235658869,0.152747832854958,2.22044604925031e-16,0.00623657868060655,1.28137386508506
"26","May26_2N5E_EF_EDITED.csv _2",0.727037811901129,0.158169735196747,0.214993492867688,0.147837366972738,-2.22044604925031e-16,0.00623657868060655,1.07225830942316
