"","name","AA","choline1","choline2","choline3","H2O2","slope_pA_uM","selectivity"
"1","2N_4E_March_28th_2017_orange_yellow.csv _1",0.258584372716618,-0.234536075431345,0.28630298560934,0.386187992261503,-4.44089209850063e-16,0.00800083846463917,3.86761503633442
"2","2N_4E_March_28th_2017_orange_yellow.csv _2",-0.107797271370762,0.277978398210063,0.397716005721657,-0.027772274109541,0,0.00800083846463917,-9.27764492887856
"3","2N_4E_March_28th_2017_red_blue.csv _1",-0.0884699815836005,0.267009465492225,0.306646762555603,0.2084245301952,0,0.0132644451864234,-18.7414490047806
"4","2N_4E_March_28th_2017_red_blue.csv _2",-2.42969985627569,-1.88406264233928,1.3747423356284,-1.11335373251861,0,0.0132644451864234,-0.682411716006947
"5","2N_4E_March_28th_2017_white_green.csv _1",0.288521476546417,0.379620083574037,0.332310677778802,0.371439048597226,2.22044604925031e-16,0.017912100538145,7.76029775692596
"6","2N_4E_March_28th_2017_white_green.csv _2",-0.0824285588103338,0.296926134200515,0.258761325378482,0.297956597211214,-3.33066907387547e-16,0.017912100538145,-27.1630682324562
"7","2N4_5E_March_21_2016_orange_green.csv _1",0.0594153651330851,0.457455548262655,0.396827103498396,0.47257239274152,-4.44089209850063e-16,0.0218869611850305,46.0465090469563
"8","2N4_5E_March_21_2016_orange_green.csv _2",-0.0268293650485483,0.390482241405463,0.325615232237551,0.333584179682823,-2.22044604925031e-16,0.0218869611850305,-101.972974134058
"9","2N4_5E_March_21_2016_red_blue.csv _1",-0.10366773744314,0.174825609476784,0.351048317430464,0.429043212713764,2.22044604925031e-16,0.0160789986814675,-19.3876598906754
"10","2N4_5E_March_21_2016_red_blue.csv _2",-0.033433559560244,0.48769488468506,0.781801909603262,0.773671472883015,0,0.0160789986814675,-60.1154905914771
"11","2N4_5E_March_21_2016_white_yellow.csv _1",0.0070039818646187,0.141303149982586,0.135649845383308,0.120598376310698,-1.11022302462516e-16,0.00664151980206543,118.531142899151
"12","2N4_5E_March_21_2016_white_yellow.csv _2",0.315644304842315,0.502106902248066,0.50602057851084,0.172772535705632,0,0.00664151980206543,2.63014400235389
"13","2N4E_March_16_2017_orange_yellow.csv _1",0.0574213855897557,0.363147463619831,0.35676876105522,0.224698510424728,0,0.0159530648317728,34.728056167411
"14","2N4E_March_16_2017_orange_yellow.csv _2",1.23301840525528,2.2559549579133,-5.49552308268124,3.16721107335311,0,0.0159530648317728,1.61727764603704
"15","2N4E_March_16_2017_red_green.csv _1",-0.00265879353373588,0.255422482632439,0.21815501160247,0.157861991544458,0,0.0105623673447028,-496.577075780946
"16","2N4E_March_16_2017_red_green.csv _2",-0.0337365516407996,0.13750701400211,0.140338146692643,0.128008974420328,2.22044604925031e-16,0.0105623673447028,-39.1354733626995
"17","2N4E_March_16_2017_white_blue.csv _1",0.00347979191446512,0.234989021468652,0.511374422696956,0.220943885710962,0,0.0170664820616333,613.05684654195
"18","2N4E_March_16_2017_white_blue.csv _2",-0.00665842109763209,0.171218928034541,0.167994059151481,0.143335216966187,0,0.0170664820616333,-320.392811812822
"19","2N4E_March_8_2017_red_green.csv _1",-0.0128985040022475,0.117230238810517,0.0956493114746798,0.111244621389584,0,0.00534010913249512,-51.7512450626506
"20","2N4E_March_8_2017_red_green.csv _2",0.0177750586211967,0.267788005868318,0.27608354289544,0.286352661391489,-1.11022302462516e-16,0.00534010913249512,37.5533862243291
"21","2N4E_March_8_2017_white_blue.csv _1",-0.0431355692731629,0.123649068023468,0.141104500006897,0.0627729295460339,0,0.00561841996368046,-16.2812849649118
"22","2N4E_March_8_2017_white_blue.csv _2",-4.12077522118325,-0.0118697568939554,-0.0586494724618101,-0.187335575362868,0,0.00561841996368046,-0.17042970260785
"23","2N4E_March_8_2017_yellow_orange.csv _1",-0.0322502792812075,0.0981442095425864,0.150738257664001,0.18153426763971,0,0.00720994231101446,-27.9452708306303
"24","2N4E_March_8_2017_yellow_orange.csv _2",-0.0197160854383689,0.408782722833589,0.23028784826122,0.286184802829894,2.22044604925031e-16,0.00720994231101446,-45.7110409515129
